Date,Illnesses
01/09/2012,11
01/10/2012,4
01/06/2012,180
01/10/2012,19
01/09/2012,3
01/03/2012,2
01/09/2012,9
01/10/2012,27
01/10/2012,9
01/10/2012,4
01/10/2012,52
01/10/2012,7
01/10/2012,53
01/07/2012,7
01/10/2012,2
01/09/2012,3
01/08/2012,22
01/09/2012,35
01/10/2012,12
01/11/2012,15
01/10/2012,47
01/06/2012,5
01/09/2012,12
01/11/2012,24
01/11/2012,5
01/09/2012,3
01/12/2011,24
01/09/2012,9
01/10/2012,12
01/11/2012,22
01/11/2012,7
01/05/2012,18
01/04/2012,22
01/10/2012,91
01/10/2012,2
01/09/2012,4
01/11/2012,2
01/10/2012,39
01/08/2012,7
01/01/2012,2
01/11/2012,20
01/11/2012,8
01/08/2012,5
01/04/2012,3
01/05/2011,209
01/11/2012,28
01/10/2011,70
01/10/2012,37
01/10/2011,15
01/11/2012,50
01/10/2012,2
01/10/2012,4
01/11/2012,8
01/10/2012,2
01/10/2012,29
01/11/2012,9
01/02/2012,43
01/11/2012,10
01/11/2012,25
01/10/2012,16
01/10/2012,5
01/06/2012,21
01/10/2012,3
01/10/2012,4
01/10/2012,16
01/07/2012,13
01/09/2012,14
01/11/2012,16
01/10/2012,33
01/08/2012,90
01/06/2012,117
01/11/2012,22
01/11/2012,22
01/11/2012,20
01/10/2012,6
01/11/2012,8
01/06/2012,2
01/10/2012,4
01/11/2012,3
01/04/2012,10
01/09/2012,2
01/04/2012,7
01/10/2012,13
01/11/2012,3
01/10/2012,27
01/11/2012,2
01/11/2012,3
01/11/2012,2
01/12/2012,25
01/12/2012,38
01/10/2012,20
01/08/2012,2
01/08/2012,8
01/11/2012,23
01/12/2012,29
01/12/2012,11
01/12/2012,2
01/10/2012,7
01/11/2012,66
01/11/2012,12
01/11/2012,21
01/11/2012,20
01/11/2012,4
01/03/2012,6
01/11/2012,5
01/11/2012,7
01/11/2012,18
01/08/2012,2
01/09/2012,121
01/12/2012,125
01/12/2012,3
01/11/2012,8
01/12/2012,26
01/12/2012,49
01/12/2012,4
01/11/2012,2
01/12/2012,4
01/11/2012,4
01/12/2012,6
01/12/2012,8
01/11/2012,13
01/10/2012,12
01/12/2012,22
01/12/2012,11
01/12/2012,43
01/12/2012,14
01/12/2012,7
01/12/2012,3
01/11/2012,61
01/11/2012,10
01/04/2011,166
